0nohup.out,1nohup.out,2nohup.out,3nohup.out,4nohup.out,5nohup.out,6nohup.out,7nohup.out,8nohup.out,9nohup.out
-1540.3469056888,-1544.82604985416,-1539.88576254773,-1539.88576254773,-1540.09235741889,-1542.70418484182,-1540.53064104329,-1540.43487197835,-1540.11476200534,-1538.95551706161
-1531.77743192228,-1530.01961071209,-1532.02948804166,-1532.02948804166,-1531.76692226077,-1530.64237647652,-1531.62713761141,-1531.73874785964,-1531.97643769492,-1532.74311915484
-1539.33272328721,-1539.57629501317,-1539.27783901995,-1539.27783901995,-1539.20251694832,-1539.38920820619,-1539.26915590788,-1539.3824892268,-1539.25542585906,-1539.14466978452
-1550.82562449415,-1548.71555827214,-1551.16774412233,-1551.16774412233,-1551.09563659316,-1549.61434991412,-1550.8853529557,-1551.08307173518,-1551.16331208672,-1551.73684950429
-1572.40848645695,-1573.14249309938,-1572.26764536944,-1572.26764536944,-1572.32571210914,-1572.87440888882,-1572.43857068803,-1572.7991578943,-1572.4145964546,-1572.37960360735
-1571.09753171233,-1565.79323983087,-1572.00624675509,-1572.00624675509,-1571.34961016991,-1568.0370799844,-1570.99044770773,-1571.46848535535,-1571.76794287681,-1573.24322351501
-1615.7108599319,-1595.333544483,-1618.15786850507,-1618.15786850507,-1617.40708420593,-1604.13026506905,-1614.97637878419,-1615.71938668128,-1617.9253133305,-1623.49425875516
-1551.85704683733,-1550.3739942645,-1552.25443753336,-1552.25443753336,-1551.94282138417,-1550.67131702899,-1551.72861253508,-1551.88529477275,-1552.03440099692,-1553.01735620392
-1546.19259948744,-1546.51385628233,-1546.24394696162,-1546.24394696162,-1546.1827785733,-1546.3702028449,-1546.21918877309,-1546.2749620886,-1546.15066727471,-1546.15859250724
-1553.8357868839,-1549.46496761376,-1554.48158628945,-1554.48158628945,-1554.39100411538,-1551.42812703357,-1553.90254929045,-1553.91708508086,-1554.36711955863,-1555.66777387773
-1538.87508561365,-1539.54456226368,-1538.89433439649,-1538.89433439649,-1538.73229448981,-1539.29244671255,-1538.89138455251,-1538.92762204407,-1538.74878131625,-1538.71254046235
-1534.44945339746,-1534.3713746295,-1534.46740462606,-1534.46740462606,-1534.27460575047,-1534.35329817489,-1534.3908355005,-1534.39143954277,-1534.33422291226,-1534.47792724389
-1542.31630087567,-1542.32241553663,-1542.27690418576,-1542.27690418576,-1542.20558185157,-1542.2214319841,-1542.18666817797,-1542.13658251334,-1542.18906875617,-1542.20964038442
-1552.28231031986,-1552.35674071815,-1552.32927473567,-1552.32927473567,-1552.11919113531,-1552.27602642891,-1552.2559000765,-1552.14053445343,-1552.17408187675,-1552.15742602794
-1543.60795645982,-1542.36527699067,-1543.87753014763,-1543.87753014763,-1543.77417554416,-1542.8954681952,-1543.61236244354,-1543.56042604333,-1543.81840318269,-1544.2046506222
-1554.65677145173,-1549.74891723468,-1555.40867255429,-1555.40867255429,-1554.9024587161,-1551.94329648317,-1554.46701981014,-1554.49677317094,-1555.02928517804,-1556.70639899025
-1600.20275123089,-1601.19627740908,-1600.09437490229,-1600.09437490229,-1599.92837863894,-1600.40787131161,-1600.26613709021,-1599.68939215386,-1600.01378334512,-1599.60413610148
-1583.02565550303,-1580.29624944427,-1583.61494232568,-1583.61494232568,-1583.40046062493,-1581.29209774602,-1583.02971728374,-1582.78986375458,-1583.41530812982,-1584.47395178702
-1594.48393896948,-1593.69269579813,-1594.79754120212,-1594.79754120212,-1594.55490457256,-1593.889654235,-1594.50617089406,-1593.99048360099,-1594.57877995921,-1594.93455601276
-1644.56988153473,-1640.35498806306,-1645.45681911727,-1645.45681911727,-1644.96351158686,-1642.17820423951,-1644.63797099016,-1644.21429290841,-1645.23688442791,-1646.05777030415
-1617.24625678622,-1618.43647825688,-1617.46062296868,-1617.46062296868,-1617.31828455716,-1617.63623028334,-1617.28767466521,-1616.61919361379,-1617.24038221737,-1617.22128779557
-1669.75710423354,-1660.95105974299,-1671.18567418917,-1671.18567418917,-1670.453504852,-1664.70222117758,-1669.65550793104,-1669.05066444707,-1670.57429358137,-1673.09083819015
-1692.62372005205,-1694.86778324032,-1692.90799313098,-1692.90799313098,-1692.28591948189,-1693.54780476858,-1692.71814454881,-1691.63668821376,-1692.17144379776,-1691.79137207418
-1731.70383375018,-1736.35802576639,-1732.20812331537,-1732.20812331537,-1731.76230844574,-1733.88195622011,-1732.17452257021,-1729.9969374434,-1731.52497883651,-1730.64005329882
-1744.33275265113,-1746.71257633384,-1744.73527256018,-1744.73527256018,-1744.23863185526,-1744.95225261851,-1744.35146120531,-1741.99833668951,-1744.06113789076,-1743.11166511298
-1897.52723768651,-1887.01106028676,-1900.08035151337,-1900.08035151337,-1898.44749766252,-1891.27330572581,-1897.39179702157,-1894.03260326649,-1898.48019873759,-1901.0795217274
-1822.70348629655,-1829.12595650352,-1823.24046939485,-1823.24046939485,-1822.91111853644,-1825.047005635,-1823.05810614182,-1819.60944259531,-1822.28187781974,-1821.13126953631
-1866.12286577076,-1867.46544364091,-1867.5146690446,-1867.5146690446,-1866.90254951502,-1865.92302175582,-1866.55181721972,-1862.6131642398,-1866.31315510324,-1865.91823291355
-2016.80184065506,-1999.99903429377,-2021.15565551285,-2021.15565551285,-2019.32132375613,-2006.3149947285,-2016.89266112742,-2011.62820945696,-2018.81102998392,-2023.58822841161
-2113.18029333719,-2120.22864941376,-2115.55401108398,-2115.55401108398,-2114.48519980635,-2114.71506400825,-2113.96238340103,-2104.8490433157,-2112.86353190891,-2111.14237675085
-2505.85959757648,-2492.97235752787,-2518.32443162871,-2518.32443162871,-2512.78343007811,-2492.33672526385,-2508.54946124711,-2484.46776143585,-2509.75375088105,-2512.7697788451
,-2819.60658021281,-2807.08166996558,-2807.08166996558,-2800.69191172032,-2791.06273295536,,-2737.25028691957,-2790.94296445603,-2782.11842779403
,-3714.41124150335,-3762.45005522904,-3762.45005522904,-3743.2786976274,-3662.60117046084,,-3541.11173842309,,-3705.23621824836
,-18805.7390910786,-20153.8764914873,-20153.8764914873,-19937.7514307964,-18451.1291118454,,-17192.0253252404,,-19593.822946952
,-infC1:C1048576,-inf,-inf,-inf,-inf,,-inf,,-inf
