0nohup.out,1nohup.out,2nohup.out,3nohup.out,4nohup.out,5nohup.out,6nohup.out,7nohup.out,8nohup.out,9nohup.out
-230.10335899033,-230.649634916322,-229.775119855668,-230.337789512421,-230.058502451821,-230.013024454928,-230.033737800517,-229.784896162098,-229.903077782702,-230.086390555045
-226.314729598277,-226.422851854105,-226.132092701161,-226.339399277514,-226.234346084199,-226.238051417476,-226.24606237399,-226.188187864502,-226.199700003115,-226.254066429023
-223.004665991128,-223.136142899625,-222.870280982198,-223.049246841927,-222.958705940785,-223.022534347474,-222.982519447261,-222.920287729151,-222.949281367823,-222.967142627078
-221.42467388764,-221.320666578925,-221.399349736658,-221.314047040785,-221.358908419104,-221.41063149517,-221.389277927647,-221.448263438183,-221.463786930493,-221.331369831628
-219.046303567752,-219.027879705954,-219.045770062886,-218.977863731433,-218.979099142123,-219.090053132467,-219.003138370912,-219.083337072523,-219.15318524393,-219.003642054275
-216.730693049092,-216.590409482975,-216.752132632673,-216.639195785043,-216.680330313349,-216.736962438593,-216.689618058857,-216.774765537664,-216.778971863428,-216.657830826884
-216.22780849204,-216.13656578072,-216.220632368878,-216.18504026373,-216.172440167725,-216.211640587793,-216.2340871968,-216.337039748134,-216.259042743748,-216.179092906911
-215.165288896778,-215.338526315561,-214.975430295775,-215.205814441891,-215.115445900405,-215.131846150461,-215.125791516643,-215.024447708554,-215.071559440756,-215.144389902989
-215.249606971326,-215.29521876359,-215.106902844015,-215.220017660149,-215.183273331803,-215.206303637555,-215.173959316825,-215.158208560795,-215.148227721135,-215.173891066373
-215.3208439355,-215.373108164518,-215.230984560955,-215.350740182949,-215.280062437418,-215.305719152908,-215.264239894599,-215.235968860147,-215.277319666111,-215.275933542135
-215.901197137059,-215.905540698601,-215.833363101726,-215.896213431747,-215.872548605881,-215.889194060644,-215.872608439837,-215.836362080427,-215.861676755184,-215.880320305771
-217.03172717139,-217.002621510564,-216.992511479694,-217.00835941528,-217.026302998833,-217.02131152007,-217.011243051616,-216.991332968156,-217.01963590967,-217.001063158833
-217.930317969389,-218.031829692442,-217.857970452258,-217.974262783619,-217.952705087098,-217.945047692443,-217.918813355584,-217.833765760893,-217.880983634314,-217.905237570762
-219.015956909725,-219.060315125229,-218.958347306267,-219.01227556495,-219.036991260305,-219.031665230332,-219.003221565381,-218.982609539812,-218.975465798599,-218.99532949295
-220.226539596311,-220.297414232854,-220.194691160351,-220.242569217458,-220.265881860946,-220.25095685821,-220.22331760221,-220.198487012262,-220.222360438177,-220.217323357127
-221.304828773014,-221.326388988925,-221.264355074549,-221.329765118671,-221.293409526129,-221.284791029189,-221.268765948518,-221.288912707237,-221.331416240249,-221.258932867238
-221.734700231648,-221.761158811042,-221.755737829464,-221.764804709017,-221.73935987886,-221.766001762306,-221.73799336451,-221.744689693326,-221.755203648171,-221.712374733559
-221.828676452288,-221.822039386572,-221.81896503911,-221.819138772196,-221.815800689561,-221.82803327393,-221.789561749395,-221.803237213,-221.825205185885,-221.765502743602
